keys,en,ru
Text/59/text,[color=#8e59f5]Every experience has its own challenges[/color],[color=#8e59f5]Каждый опыт имеет свои трудности[/color]
Text/5a/text,Fair enough...,Справедливо...
Choice/5b/text,[color=#f7d038]Pressure makes diamonds[/color],[color=#f7d038]Давление делает из угля бриллианты[/color]
Choice/5b/disabled_text,,
Text/5c/text,"[color=#f7d038]Pressure makes diamonds, doesn’t it? Let’s hope I shine bright[/color]","[color=#f7d038]Давление делает из угля бриллианты, не так ли? Надеюсь, я засияю ярко[/color]"
Text/5d/text,"Haha, diamonds! Let’s hope you’re not cubic zirconia!","Ха-ха, бриллианты! Надеюсь, вы не фальшивка!"
Choice/5e/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
Choice/5e/disabled_text,,
Text/5f/text,Nothing? Maybe you’re already crumbling under my questions...,"Ничего? Может, вы уже сдаетесь под напором моих вопросов..."
Text/60/text,"A little temptation can test self-control, don’t you think?","Немного искушения может проверить силу воли, как вы думаете?"
Text/61/text,"True, but it’s how we respond that matters most","Правда, но важно, как мы реагируем."
Label/62/display_name,,
Text/63/text,Every good decision starts with a [i]clear view[/i],Каждое хорошее решение начинается с [i]ясного взгляда[/i].
Text/64/text,[color=#2effff][b]What’s more important: speed or precision?[/b][/color],[color=#2effff][b]Что важнее: скорость или точность?[/b][/color]
Choice/65/text,[color=#6BBF59]Precision is key[/color],[color=#6BBF59]Точность важнее всего[/color]
Choice/65/disabled_text,,
Text/66/text,[color=#6BBF59]Precision. Accuracy ensures success.[/color],[color=#6BBF59]Точность. Аккуратность обеспечивает успех.[/color]
Text/67/text,"Good, good. Hitting the mark is better than rushing past it.","Хорошо, хорошо. Попасть в цель лучше, чем проскочить мимо."
Choice/68/text,[color=#8e59f5]Depends on the situation[/color],[color=#8e59f5]Зависит от ситуации[/color]
Choice/68/disabled_text,,
Text/69/text,[color=#8e59f5]It depends on the situation[/color],[color=#8e59f5]Это зависит от ситуации[/color]
Text/6a/text,"Fair, but indecision in the wrong moment can cost you","Справедливо, но нерешительность в неподходящий момент может дорого стоить."
Choice/6b/text,[color=#f7d038]Both[/color],[color=#f7d038]Оба[/color]
Choice/6b/disabled_text,,
Text/6c/text,"[color=#f7d038]Why not both? Life’s short, aim fast![/color]","[color=#f7d038]Почему бы не оба? Жизнь коротка, целься быстро![/color]"
Text/6d/text,"Hah, ambitious. But haste makes waste, you know","Ха, амбициозно. Но поспешность ведёт к растратам, знаете ли."
Choice/6e/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
Choice/6e/disabled_text,,
Text/6f/text,"Ah, nothing to say? Let’s hope you’re not too hesitant under pressure","Ах, нечего сказать? Надеюсь, вы не будете слишком медлить под давлением."
Text/70/text,There’s always a balance between doing things quickly and doing them right.,Всегда нужно находить баланс между скоростью выполнения и качеством работы.
Text/71/text,Where do you land on that spectrum?,А как вы справляетесь с этим?
Text/72/text,"It really depends, but striking the right balance is the hardest part","Это зависит от ситуации, но найти правильный баланс — самое сложное."
Label/73/display_name,,
Text/74/text,[i]Balance[/i] is everything.,[i]Баланс[/i] — основа всего.
Text/75/text,[color=#2effff][b]Would you say you’re better at leading or supporting?[/b][/color],[color=#2effff][b]Что вам больше подходит: быть лидером или помощником?[/b][/color]
Choice/76/text,[color=#6BBF59]Adaptable role[/color],[color=#6BBF59]Гибкая роль[/color]
Choice/76/disabled_text,,
Text/77/text,"[color=#6BBF59]I can do both, depending on the team’s needs[/color]","[color=#6BBF59]Могу выполнять обе роли, в зависимости от потребностей команды[/color]"
Text/78/text,A flexible candidate. That’s what I like to hear.,"Гибкость — это именно то, что нужно."
Choice/79/text,[color=#8e59f5]No experience[/color],[color=#8e59f5]Нет опыта[/color]
Choice/79/disabled_text,,
Text/7a/text,[color=#8e59f5] I haven’t had much experience with either[/color],[color=#8e59f5]У меня не так много опыта ни в одном из направлений[/color]
Text/7b/text,"It's very strange, your resume stated otherwise...","Очень странно, ведь в вашем резюме указано обратное..."
Choice/7c/text,"[color=#f7d038]Leader, mostly[/color]",[color=#f7d038]Чаще лидер[/color]
Choice/7c/disabled_text,,
Text/7d/text,"[color=#f7d038]Leader, unless the coffee’s bad, then I’m no good at all[/color]","[color=#f7d038]Лидер, если только кофе хороший. Иначе — не рассчитывайте[/color]"
Text/7e/text,"Hah, charming. But leadership takes more than charisma","Ха-ха, забавно. Но для лидерства нужен не только шарм."
Choice/7f/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
Choice/7f/disabled_text,,
Text/80/text,"Quiet, but leadership rarely favors those who hesitate",Молчание... а ведь нерешительность редко помогает в лидерстве.
Text/81/text,Not everyone can do both well,Не все могут успешно совмещать обе роли.
Text/82/text,It’s interesting to see where people naturally thrive,"Интересно, где люди лучше проявляют себя."
Label/83/display_name,,
Text/84/text,"[i]The right words[/i] can open any door, don't think?","[i]Правильные слова[/i] открывают любые двери, не так ли?"
Text/85/text,[color=#2effff][b]What’s more valuable: logic or persuasion?[/b][/color],[color=#2effff][b]Что ценнее: логика или убеждение?[/b][/color]
Choice/86/text,[color=#6BBF59]Logic is key[/color],[color=#6BBF59]Логика важнее[/color]
Choice/86/disabled_text,,
Text/87/text,[color=#6BBF59]Logic. It creates undeniable solutions.[/color],[color=#6BBF59]Логика. Она обеспечивает неопровержимые решения.[/color]
Text/88/text,"A strong foundation, but persuasion builds the bridges","Хорошая основа, но убеждение строит мосты."
Choice/89/text,[color=#8e59f5]Depends on use[/color],[color=#8e59f5]Зависит от ситуации[/color]
Choice/89/disabled_text,,
Text/8a/text,[color=#8e59f5]Both have their place; knowing when to use each is vital[/color],"[color=#8e59f5]Оба важны, главное — знать, когда и что использовать[/color]"
Text/8b/text,"Yes, versatility is the mark of a sharp mind","Да, универсальность — признак острого ума."
Choice/8c/text,[color=#f7d038]Charm works[/color],[color=#f7d038]Шарм спасёт[/color]
Choice/8c/disabled_text,,
Text/8d/text,[color=#f7d038]Neither. Just charm your way in![/color],"[color=#f7d038]Ни то, ни другое. Просто очаруй всех![/color]"
Text/8e/text,Amusing,Забавно
Text/8f/text,But charm alone rarely lasts long,Но одного шарма надолго не хватит.
Choice/90/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
Choice/90/disabled_text,,
Text/91/text,Speechlessness doesn’t win many arguments,Молчание не выигрывает споров.
Text/92/text,Soo... next question,Итак... следующий вопрос.
Label/93/display_name,,
Text/94/text,"Sometimes, [i]instincts[/i] speak louder than plans",Иногда [i]инстинкты[/i] говорят громче планов.
Text/95/text,[color=#2effff][b]Do you trust your gut feelings?[/b][/color],[color=#2effff][b]Доверяете ли вы своим интуитивным чувствам?[/b][/color]
Choice/96/text,[color=#6BBF59]Trust my gut[/color],[color=#6BBF59]Доверяю интуиции[/color]
Choice/96/disabled_text,,
Text/97/text,"[color=#6BBF59]Yes, when time is short, instincts guide me[/color]","[color=#6BBF59]Да, когда времени мало, инстинкты направляют меня[/color]"
Text/98/text,Good. Quick thinking under pressure can be a lifesaver,Хорошо. Быстрое мышление под давлением спасает.
Choice/99/text,[color=#8e59f5]Check first[/color],[color=#8e59f5]Сначала проверяю[/color]
Choice/99/disabled_text,,
Text/9a/text,[color=#8e59f5]Only after verifying the facts[/color],"[color=#8e59f5]Только после того, как проверю факты[/color]"
Text/9b/text,"Cautious. Useful, but overthinking can slow you down.","Осторожно. Полезно, но излишнее раздумье может замедлить вас."
Choice/9c/text,[color=#f7d038]Gut = food[/color],[color=#f7d038]Интуиция = еда[/color]
Choice/9c/disabled_text,,
Text/9d/text,"[color=#f7d038]Only if my gut says ""lunch break""[/color]","[color=#f7d038]Только если интуиция говорит: ""перерыв на обед""[/color]"
Text/9e/text,Clever. But instincts should do more than crave sandwiches.,"Остроумно. Но инстинкты должны быть больше, чем просто голодом."
Choice/9f/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
Choice/9f/disabled_text,,
Text/a0/text,"No gut, no glory. Trusting yourself is half the battle",Нет интуиции — нет славы. Умение доверять себе — половина успеха.
Text/a1/text,"Intuition is tricky — sometimes it’s spot-on, other times it leads us astray","Интуиция коварна: иногда она точна, а иногда ведёт в тупик."
Text/a2/text,"I think gut feelings are useful, but only when balanced with analysis","Думаю, интуиция полезна, но только в сочетании с анализом."
Label/a3/display_name,,
Text/a4/text,[i]Perspective is everything[/i],[i]Перспектива — это всё[/i].
Text/a5/text,[color=#2effff][b]What’s more important: the details or the big picture?[/b][/color],[color=#2effff][b]Что важнее: детали или общая картина?[/b][/color]
Choice/a6/text,[color=#6BBF59]Big picture[/color],[color=#6BBF59]Общая картина[/color]
Choice/a6/disabled_text,,
Text/a7/text,[color=#6BBF59]The big picture. It keeps everything aligned[/color],[color=#6BBF59]Общая картина. Она помогает всему быть в гармонии[/color]
Text/a8/text,"Visionary thinking, but without details, the big picture crumbles","Мыслящий масштабно, но без деталей всё рушится."
Choice/a9/text,[color=#8e59f5]Both matter[/color],[color=#8e59f5]Важны оба аспекта[/color]
Choice/a9/disabled_text,,
Text/aa/text,[color=#8e59f5]You can’t separate them. Both are equally important[/color],[color=#8e59f5]Нельзя их разделить. Оба одинаково важны[/color]
Text/ab/text,Smart. [i]Balance[/i] is the key to solid decision-making.,Умно. [i]Баланс[/i] — основа верного решения.
Choice/ac/text,[color=#f7d038]Delegate details[/color],[color=#f7d038]Делегирую детали[/color]
Choice/ac/disabled_text,,
Text/ad/text,"[color=#f7d038]The details, as long as someone else handles them[/color]","[color=#f7d038]Детали, если кто-то другой займётся ими[/color]"
Text/ae/text,"Delegation has its place, but responsibility starts with you.","Делегирование — это хорошо, но ответственность начинается с вас."
Choice/af/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
Choice/af/disabled_text,,
Text/b0/text,"[i]Perspective[/i] comes with [i]experience[/i]. Silence, though… teaches little",[i]Перспектива[/i] приходит с [i]опытом[/i]. А молчание… ничему не учит.
Text/b1/text,Zooming in and out can be tough,Увеличивать и уменьшать масштаб бывает сложно.
Text/b2/text,Where do you feel more comfortable?,Где вы чувствуете себя комфортнее?
Text/b3/text,"Both are crucial, but knowing when to switch focus is the real challenge","Оба навыка важны, но умение переключаться между ними — настоящий вызов."
Label/b4/display_name,,
Text/b5/text,Flexibility is [i]strength[/i] disguised as [i]softness[/i],"Гибкость — это [i]сила[/i], замаскированная под [i]мягкость[/i]."
Text/b6/text,[color=#2effff][b]How do you handle unexpected changes in plans?[/b][/color],[color=#2effff][b]Как вы справляетесь с неожиданными изменениями в планах?[/b][/color]
Choice/b7/text,[color=#6BBF59]Adapt & solve[/color],[color=#6BBF59]Адаптируюсь и решаю[/color]
Choice/b7/disabled_text,,
Text/b8/text,[color=#6BBF59]I adapt quickly and look for the best solution under the circumstances[/color],[color=#6BBF59]Я быстро адаптируюсь и ищу наилучшее решение в данных обстоятельствах.[/color]
Text/b9/text,Perfect!,Прекрасно!
Text/ba/text,Flexibility is crucial here,Гибкость здесь крайне важна.
Choice/bb/text,[color=#8e59f5]Stick to plan[/color],[color=#8e59f5]Придерживаюсь плана[/color]
Choice/bb/disabled_text,,
Text/bc/text,[color=#8e59f5]I do my best to stick to the original plan[/color],[color=#8e59f5]Я стараюсь придерживаться оригинального плана.[/color]
Text/bd/text,"Determined, but rigidity can [i]break[/i] under pressure","Это решительность, но излишняя жесткость может [i]сломаться[/i] под давлением."
Choice/be/text,[color=#f7d038]Ignore change[/color],[color=#f7d038]Игнорирую изменения[/color]
Choice/be/disabled_text,,
Text/bf/text,[color=#f7d038]I pretend the change didn’t happen[/color],"[color=#f7d038]Я делаю вид, что изменения не произошли.[/color]"
Text/c0/text,Ignorance isn’t adaptability,Игнорирование — это не адаптивность.
Choice/c1/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
Choice/c1/disabled_text,,
Text/c2/text,No response? Silence won’t make the changes [b]go away[/b],Нет ответа? Тишина не заставит изменения [b]исчезнуть[/b].
Text/c3/text,"Plans rarely survive first contact, right? How do you deal with that?","Планы редко переживают первый контакт, не так ли? Как вы с этим справляетесь?"
Text/c4/text,It’s all about staying calm and figuring out what’s next,Все дело в спокойствии и поиске следующего шага.
Label/c5/display_name,,
Text/c6/text,"They say [i]laughter[/i] is the best medicine, even at work","Говорят, [i]смех[/i] — лучшее лекарство, даже на работе."
Text/c7/text,[color=#2effff][b]How do you lighten the mood during stressful situations?[/b][/color],[color=#2effff][b]Как вы поднимаете настроение в стрессовых ситуациях?[/b][/color]
Choice/c8/text,[color=#6BBF59]Focus & positivity[/color],[color=#6BBF59]Сосредоточенность и позитив[/color]
Choice/c8/disabled_text,,
Text/c9/text,[color=#6BBF59]I remind everyone to stay focused and stay positive[/color],[color=#6BBF59]Я напоминаю всем оставаться сосредоточенными и сохранять позитивный настрой.[/color]
Text/ca/text,"Nice, but sometimes a bit of levity works wonders","Неплохо, но немного легкости иногда творит чудеса."
Choice/cb/text,[color=#8e59f5]Wait it out[/color],"[color=#8e59f5]Жду, пока пройдет[/color]"
Choice/cb/disabled_text,,
Text/cc/text,[color=#8e59f5]I just wait for the stress to pass on its own[/color],"[color=#8e59f5]Я просто жду, пока стресс уйдет сам.[/color]"
Text/cd/text,"Patience is a virtue, but it [i]doesn’t reduce stress[/i]","Терпение — это добродетель, но оно [i]не уменьшает стресс[/i]."
Choice/ce/text,[color=#f7d038]Silly joke[/color],[color=#f7d038]Смешная шутка[/color]
Choice/ce/disabled_text,,
Text/cf/text,[color=#f7d038]I make a silly joke or share a funny story to break the tension[/color],"[color=#f7d038]Я рассказываю смешную историю или шучу, чтобы разрядить обстановку.[/color]"
Text/d0/text,Perfect. Humor brings perspective when things feel overwhelming,"Отлично. Юмор помогает обрести перспективу, когда кажется, что все слишком сложно."
Choice/d1/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
Choice/d1/disabled_text,,
Text/d2/text,No response? [b]Stress[/b] can thrive in silence,Нет ответа? [b]Стресс[/b] процветает в тишине.
Text/d3/text,"Staying positive is important, but don’t underestimate the power of a well-timed laugh to break the tension","Позитивный настрой важен, но не недооценивайте силу смеха в нужный момент."
Text/d4/text,"True, though humor can be tricky. Knowing when and how to use it matters.","Верно, хотя юмор может быть непростым. Важно знать, когда и как его применять."
Label/d5/display_name,,
Text/d6/text,Resourcefulness is solving problems with [i]what’s at hand[/i],"Изобретательность — это умение решать проблемы с [i]тем, что под рукой[/i]."
Text/d7/text,[color=#2effff][b]What do you do when faced with a sudden lack of tools or resources?[/b][/color],"[color=#2effff][b]Что вы делаете, столкнувшись с нехваткой инструментов или ресурсов?[/b][/color]"
Choice/d8/text,[color=#6BBF59]Find replacements[/color],[color=#6BBF59]Нахожу замену[/color]
Choice/d8/disabled_text,,
Text/d9/text,[color=#6BBF59] I focus on finding replacements as quickly as possible[/color],"[color=#6BBF59]Я сосредотачиваюсь на том, чтобы как можно быстрее найти замену.[/color]"
Text/da/text,"Resourceful, but that’s not always possible in the moment","Находчиво, но это не всегда возможно."
Choice/db/text,[color=#8e59f5]Task can wait[/color],[color=#8e59f5]Можно подождать[/color]
Choice/db/disabled_text,,
Text/dc/text,[color=#8e59f5]I reevaluate the task to see if it can wait[/color],"[color=#8e59f5]Я оцениваю, можно ли отложить задачу.[/color]"
Text/dd/text,"Practical, but flexibility under pressure is better","Практично, но гибкость под давлением — лучшее решение."
Choice/de/text,[color=#f7d038]Duct tape[/color],[color=#f7d038]Изолента[/color]
Choice/de/disabled_text,,
Text/df/text,[color=#f7d038]I MacGyver my way through it with duct tape and hope[/color],[color=#f7d038]Я решаю проблему с изолентой и надеждой на лучшее.[/color]
Text/e0/text,Creativity in the face of constraints is a true skill!,Креативность в условиях ограничений — это настоящее мастерство!
Choice/e1/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
Choice/e1/disabled_text,,
Text/e2/text,"No tools, no response?",Нет инструментов - нет ответа?
Text/e3/text,"Finding workarounds shows adaptability, but being creative on the fly is a talent we admire","Поиск обходных путей показывает адаптивность, но креативность на ходу — это талант, который мы ценим."
Text/e4/text,"Agreed, but sometimes duct tape really is the ultimate solution","Согласен, но иногда изолента действительно — лучшее решение."
Text/e5/text,You're goddamn right,Ты чертовски прав!
Label/e6/display_name,,
Text/e7/text,Every great idea starts with an [i]unexpected spark[/i],Каждая великая идея начинается с [i]неожиданного озарения[/i].
Text/e8/text,[color=#2effff][b]How do you deal with sudden inspiration at inconvenient times?[/b][/color],[color=#2effff][b]Как вы справляетесь с внезапным вдохновением в неудобное время?[/b][/color]
Choice/e9/text,[color=#6BBF59]Jot it down[/color],[color=#6BBF59]Записываю[/color]
Choice/e9/disabled_text,,
Text/ea/text,[color=#6BBF59]I jot it down and revisit it when I have time[/color],"[color=#6BBF59]Я записываю мысль, чтобы вернуться к ней позже.[/color]"
Text/eb/text,"Practical, but capturing the energy of the moment can be key","Практично, но иногда важно поймать энергию момента."
Choice/ec/text,[color=#8e59f5]Hope it returns[/color],"[color=#8e59f5]Надеюсь, вернется[/color]"
Choice/ec/disabled_text,,
Text/ed/text,[color=#8e59f5]I usually forget about it and hope it comes back later[/color],"[color=#8e59f5]Я обычно забываю и надеюсь, что идея вернется позже.[/color]"
Text/ee/text,"Hmm, letting it slip away could mean lost opportunities","Хм, упустить такой момент — значит потерять возможность."
Choice/ef/text,[color=#f7d038]Napkin note[/color],[color=#f7d038]Заметка на салфетке[/color]
Choice/ef/disabled_text,,
Text/f0/text,[color=#f7d038]I scribble it on anything handy — even a napkin if I must![/color],"[color=#f7d038]Пишу на чем угодно — даже на салфетке, если нужно![/color]"
Text/f1/text,Love it. Brilliant ideas don’t wait for the perfect moment.,Отлично! Гениальные идеи не ждут подходящего времени.
Text/f2/text,One of ex-coworkers did the same,Один из моих бывших коллег делал то же самое.
Text/f3/text,Poor Herald...,Бедный Геральд...
Choice/f4/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
Choice/f4/disabled_text,,
Text/f5/text,"A missed moment, perhaps",Упущенный момент? Возможно.
Text/f6/text,Sometimes those spur-of-the-moment ideas are the best ones — don’t let them get away.,Иногда спонтанные идеи — это самое ценное. Не позволяйте им ускользнуть.
Label/f7/display_name,,
Text/f8/text,"By the way, I read in your [i]CV[/i] about your [i]communication skills[/i]. Is that true?","Кстати, я видел в вашем [i]резюме[/i] упоминание о [i]коммуникативных навыках[/i]. Это правда?"
Text/f9/text,[color=#2effff][b]How do you deal with sudden inspiration at inconvenient times?[/b][/color],[color=#2effff][b]Как вы справляетесь с внезапным вдохновением в неудобное время?[/b][/color]
Choice/fa/text,[color=#6BBF59]Direct and concise[/color],[color=#6BBF59]Краткость и четкость[/color]
Choice/fa/disabled_text,,
Text/fb/text,[color=#6BBF59]I focus on being direct and to the point in every situation[/color],[color=#6BBF59]Я всегда стараюсь быть кратким и по делу.[/color]
Text/fc/text,"Efficient, but it doesn’t always suit every scenario","Эффективно, но не всегда подходит для каждой ситуации."
Choice/fd/text,[color=#8e59f5]Adapt as I go[/color],[color=#8e59f5]Импровизирую[/color]
Choice/fd/disabled_text,,
Text/fe/text,[color=#8e59f5]I adapt to the situation and figure it out as I go[/color],[color=#8e59f5]Я адаптируюсь и разбираюсь по ходу дела.[/color]
Text/ff/text,"Flexible, especially if it helps build rapport with others","Гибко, особенно если это помогает наладить общение."
Choice/100/text,[color=#f7d038]Fluent sarcasm[/color],[color=#f7d038]Сарказм на отлично[/color]
Choice/100/disabled_text,,
Text/101/text,"[color=#f7d038]I speak fluent sarcasm, but I promise to keep it work-appropriate![/color]","[color=#f7d038]Я отлично владею сарказмом, но обещаю использовать его только в подходящей ситуации![/color]"
