keys,en,ru
Choice/332/text,[color=#f7d038]Resign to it[/color],[color=#f7d038]Смириться[/color]  
Choice/332/disabled_text,,
Text/333/text,[color=#f7d038]Resign to it — it’ll swallow you anyway[/color],[color=#f7d038]Смириться — она всё равно тебя поглотит[/color]  
Text/334/text,Resign?,Смириться?  
Text/335/text,"Maybe that’s the only option. It swallows you anyway, doesn’t it?","Может быть, это единственный вариант. Она всё равно тебя поглотит, не так ли?  "
Choice/336/text,[color=gray] . . . [/color],[color=gray] . . . [/color]  
Choice/336/disabled_text,,
Text/337/text,"Ah, silence… maybe the trap’s already won.","Ах, молчание... может, ловушка уже победила.  "
Text/338/text,Maybe it’s just waiting to spring on us both.,"Может, она просто ждет, чтобы захлопнуться на нас обоих.  "
Text/339/text,"Traps are clever that way, you know.",Ловушки умны в этом.  
Text/33a/text,They don’t always catch you with force. Sometimes they just…,Они не всегда ловят силой. Иногда они просто...  
Text/33b/text,wait for you to step wrong.,"ждут, пока ты ошибёшься.  "
Text/33c/text,And the worst part?,И худшая часть?  
Text/33d/text,You rarely see the mistake until it’s too late,"Ты редко видишь ошибку, пока не становится слишком поздно.  "
Label/33e/display_name,,
Text/33f/text,Do you hear the ticking? It’s like time here isn’t a friend but a hunter.,"Ты слышишь этот тик-так? Как будто время здесь — не друг, а охотник.  "
Text/340/text,[color=#2effff][b]How do you deal with time when it feels against you?[/b][/color],"[color=#2effff][b]Что делать с временем, если кажется, что оно против тебя?[/b][/color]  "
Choice/341/text,[color=#6BBF59]Take control of it[/color],[color=#6BBF59]Взять его под контроль[/color]  
Choice/341/disabled_text,,
Text/342/text,[color=#6BBF59]Take control of it—don’t let it control you[/color],[color=#6BBF59]Взять время под контроль — не позволить ему управлять собой[/color]  
Text/343/text,Take control? Maybe…,Взять под контроль? Может быть...  
Text/344/text,"But time is a hunter, and it never stops chasing.","Но время — это охотник, и оно никогда не перестанет преследовать.  "
Choice/345/text,[color=#8e59f5]Work with it[/color],[color=#8e59f5]Работать с ним[/color]  
Choice/345/disabled_text,,
Text/346/text,"[color=#8e59f5]Work with it, even if it feels against you[/color]","[color=#8e59f5]Работать с ним, даже если оно против тебя[/color]  "
Text/347/text,Work with it?,Работать с ним?  
Text/348/text,It’s against you from the start. You’re just delaying the inevitable.,Оно против тебя с самого начала. Ты лишь оттягиваешь неизбежное.  
Choice/349/text,[color=#f7d038]Ask it to pause[/color],[color=#f7d038]Попросить его остановиться[/color]  
Choice/349/disabled_text,,
Text/34a/text,[color=#f7d038]Ask time to pause politely—it might listen[/color],[color=#f7d038]Попросить время остановиться вежливо — вдруг оно послушается[/color]  
Text/34b/text,Ask it to pause?,Попросить его остановиться?  
Text/34c/text,If only it were that polite… but it’s not.,Если бы оно только было таким вежливым... но это не так.  
Choice/34d/text,[color=gray] . . . [/color],[color=gray] . . . [/color]  
Choice/34d/disabled_text,,
Text/34e/text,So… you’d let it win? Just like that?,Значит… ты бы просто сдался? Вот так вот?  
Text/34f/text,Time doesn’t need help dragging you down—it’s good at that on its own.,"Времени не нужна помощь, чтобы утянуть тебя на дно — оно и так в этом мастер.  "
Text/350/text,"Time isn’t fair. It never is. You run, you stumble, you fight…","Время несправедливо. Всегда было и будет. Ты бежишь, оступаешься, борешься…  "
Text/351/text,And yet it always gets the last word.,И всё равно последнее слово остаётся за ним.  
Text/352/text,"I wonder, does anyone ever truly win against it?","Интересно, побеждает ли его вообще хоть кто-нибудь?  "
Label/353/display_name,,
Text/354/text,"Shadows move differently here. Sometimes, they seem alive.","Тени здесь двигаются иначе. Иногда кажется, будто они живые.  "
Text/355/text,[color=#2effff][b]What’s the best way to deal with something you don’t understand?[/b][/color],"[color=#2effff][b]Как лучше всего справляться с тем, что ты не понимаешь?[/b][/color]  "
Choice/356/text,[color=#6BBF59]Face it directly[/color],[color=#6BBF59]Посмотреть в лицо[/color]  
Choice/356/disabled_text,,
Text/357/text,[color=#6BBF59]Face it directly and demand clarity[/color],[color=#6BBF59]Посмотреть в лицо и потребовать ясности[/color]  
Text/358/text,Face it? That’s brave…,Посмотреть в лицо? Смело…  
Text/359/text,"But bravery doesn’t always work. Sometimes, it just breaks you.",Но смелость не всегда помогает. Иногда она ломает.  
Choice/35a/text,[color=#8e59f5]Approach it cautiously[/color],[color=#8e59f5]Подходить осторожно[/color]  
Choice/35a/disabled_text,,
Text/35b/text,[color=#8e59f5]Approach it cautiously and gather information[/color],[color=#8e59f5]Подойти осторожно и собрать информацию[/color]  
Text/35c/text,"Cautious… yes, maybe that’s the safest.","Осторожно… возможно, это самый безопасный путь.  "
Text/35d/text,"But even then, safety is an illusion.",Но даже тогда безопасность — лишь иллюзия.  
Choice/35e/text,[color=#f7d038]Pretend to understand[/color],"[color=#f7d038]Притвориться, что понимаешь[/color]  "
Choice/35e/disabled_text,,
Text/35f/text,[color=#f7d038]Pretend you understand — it might go away[/color],"[color=#f7d038]Притворись, что понимаешь — возможно, оно исчезнет[/color]  "
Text/360/text,Pretend? Hah…,Притвориться? Ха…  
Text/361/text,Maybe ignorance really is bliss. Until it isn’t.,"Может, незнание действительно счастье. Пока не перестанет быть таковым.  "
Choice/362/text,[color=gray] . . . [/color],[color=gray] . . . [/color]  
Choice/362/disabled_text,,
Text/363/text,You’d rather say nothing? Maybe that’s wise.,"Предпочитаешь молчать? Может, это и разумно.  "
Text/364/text,Sometimes not knowing is… safer.,Иногда не знать… безопаснее.  
Text/365/text,The unknown doesn’t care if you face it or not.,"Неизвестное не заботится, встретишь ли ты его или нет.  "
Text/366/text,"It creeps in, regardless. And the more you try to understand, the more it slips through your fingers.","Оно подкрадывается, в любом случае. И чем больше пытаешься понять, тем сильнее оно ускользает.  "
Text/367/text,Maybe that’s why we fear it so much.,"Может, именно поэтому мы так его боимся.  "
Label/368/display_name,,
Text/369/text,It’s hard to tell if the walls here protect you or keep you prisoner.,"Трудно сказать, защищают ли эти стены тебя или держат в плену.  "
Text/36a/text,[color=#2effff][b]How do you decide where to place your trust?[/b][/color],"[color=#2effff][b]Как ты решаешь, кому доверять?[/b][/color]  "
Choice/36b/text,[color=#6BBF59]Trust your instincts[/color],[color=#6BBF59]Доверять инстинктам[/color]  
Choice/36b/disabled_text,,
Text/36c/text,[color=#6BBF59]Trust your instincts and take risks when necessary[/color],"[color=#6BBF59]Доверять инстинктам и рисковать, если нужно[/color]  "
Text/36d/text,Trust your instincts? That’s risky.,Инстинктам? Это рискованно.  
Text/36e/text,Instincts fail more often than they save.,"Инстинкты чаще подводят, чем спасают.  "
Choice/36f/text,[color=#8e59f5]Trust after observation[/color],[color=#8e59f5]Доверять после наблюдений[/color]  
Choice/36f/disabled_text,,
Text/370/text,[color=#8e59f5]Only trust after carefully observing behavior[/color],[color=#8e59f5]Доверять только после тщательных наблюдений[/color]  
Text/371/text,"Careful observation… yes, trust must be earned.","Наблюдательность… да, доверие нужно заслужить.  "
Text/372/text,But even earned trust can break.,Но даже заслуженное доверие может быть разрушено.  
Choice/373/text,[color=#f7d038]Trust no one[/color],[color=#f7d038]Никому не доверять[/color]  
Choice/373/disabled_text,,
Text/374/text,"[color=#f7d038]Trust no one, especially the walls![/color]","[color=#f7d038]Никому не доверяй, особенно стенам![/color]  "
Text/375/text,Trust no one?,Никому?  
Text/376/text,Maybe you’re right. Trust only leads to betrayal.,"Возможно, ты прав. Доверие слишком часто ведёт к предательству.  "
Choice/377/text,[color=gray] . . . [/color],[color=gray] . . . [/color]  
Choice/377/disabled_text,,
Text/378/text,"Silence is safer, I suppose.","Молчание безопаснее, наверное.  "
Text/379/text,But trust doesn’t thrive in silence — it withers.,Но в тишине доверие не растёт — оно умирает.  
Text/37a/text,"Trust is fragile, like a thread stretched too thin.","Доверие хрупко, как натянутая нить.  "
Text/37b/text,"And when it snaps, it doesn’t just break — it cuts. Be careful where you place it, or you might bleed for it.","И когда она рвётся, это не просто разрыв — это рана. Будь осторожен, куда его кладёшь, иначе можешь за это истечь кровью.  "
Label/37c/display_name,,
Text/37d/text,"This place doesn’t just take your time. It takes your choices, too.",Это место забирает не только ваше время. Оно отнимает и ваш выбор.  
Text/37e/text,[color=#2effff][b]What’s the best approach when your options feel limited?[/b][/color],"[color=#2effff][b]Как лучше поступить, если кажется, что вариантов почти нет?[/b][/color]  "
Choice/37f/text,[color=#6BBF59]Think creatively for solutions[/color],[color=#6BBF59]Думать нестандартно[/color]  
Choice/37f/disabled_text,,
Text/380/text,[color=#6BBF59]Create new options through clever thinking[/color],[color=#6BBF59]Придумать новые варианты с помощью хитроумных решений[/color]  
Text/381/text,Create new options? Clever… but even cleverness has its limits.,Придумать новые варианты? Ловко… но даже у хитрости есть пределы.  
Choice/382/text,[color=#8e59f5]Make do with what’s here[/color],[color=#8e59f5]Использовать доступное[/color]  
Choice/382/disabled_text,,
Text/383/text,[color=#8e59f5]Make the best of what’s available[/color],"[color=#8e59f5]Максимально использовать то, что есть под рукой[/color]  "
Text/384/text,Make the best of what’s there? That’s practical… but also so very… small.,Использовать доступное? Практично… но это так… мелко.  
Choice/385/text,[color=#f7d038]Let fate decide[/color],[color=#f7d038]Положиться на судьбу[/color]  
Choice/385/disabled_text,,
Text/386/text,[color=#f7d038]Flip a coin and let fate decide[/color],[color=#f7d038]Подбросить монетку и довериться судьбе[/color]  
Text/387/text,Flip a coin? Fate loves a gambler… until it doesn’t.,Монетка? Судьба любит игроков… пока не решит иначе.  
Choice/388/text,[color=gray] . . . [/color],[color=gray] . . . [/color]  
Choice/388/disabled_text,,
Text/389/text,"Silence? Maybe that’s your only option left… when there’s nothing to say, there’s nothing to choose. Or maybe the choices have already been made for you.","Молчание? Возможно, это единственный оставшийся выбор… Когда нечего сказать, выбирать больше нечего. А может, выборы уже сделаны за вас.  "
Text/38a/text,"Choices are an illusion, most of the time. You think you’re clever, making decisions, carving paths… but in the end, the paths were already there, waiting for you to stumble down them. All you can do is hope you don’t fall too hard when you reach the end.","Чаще всего выбор — это иллюзия. Вам кажется, что вы умны, принимаете решения, прокладываете путь… но на самом деле пути уже были готовы, ждали, пока вы споткнётесь на них. Всё, что остаётся, — это надеяться, что в конце вы не упадёте слишком больно.  "
Label/38b/display_name,,
Text/38c/text,Some doors lock to keep you out. Others lock to keep you in. Do you know which is which?,"Некоторые двери заперты, чтобы не пустить вас внутрь. Другие — чтобы не выпустить наружу. Вы знаете, где какие?  "
Text/38d/text,[color=#2effff][b]How do you approach situations where every choice seems dangerous?[/b][/color],"[color=#2effff][b]Что делать, если любой выбор кажется опасным?[/b][/color]  "
Choice/38e/text,[color=#6BBF59]Face it boldly[/color],[color=#6BBF59]Идти напролом[/color]  
Choice/38e/disabled_text,,
Text/38f/text,[color=#6BBF59]I take the boldest choice and face it head-on[/color],[color=#6BBF59]Я выбираю смелость и действую решительно[/color]  
Text/390/text,Boldness is admirable… until it leads you straight into the trap. Sometimes the most dangerous path is the one you don’t see.,"Смелость восхищает… пока не приводит прямо в ловушку. Иногда самый опасный путь — это тот, который вы не замечаете.  "
Choice/391/text,[color=#8e59f5]Weigh risks and act[/color],[color=#8e59f5]Оценивать риски[/color]  
Choice/391/disabled_text,,
Text/392/text,[color=#8e59f5]I weigh the risks carefully and tread lightly[/color],[color=#8e59f5]Я тщательно оцениваю риски и действую осторожно[/color]  
Text/393/text,"Caution, yes. It may not save you, but it might let you last a little longer.","Осторожность, да. Она может и не спасти, но, возможно, позволит продержаться чуть дольше.  "
Choice/394/text,[color=#f7d038]Hope danger won’t notice[/color],"[color=#f7d038]Надеться, что опасность пройдёт мимо[/color]  "
Choice/394/disabled_text,,
Text/395/text,[color=#f7d038]I close my eyes and hope for the best — maybe danger won’t notice me[/color],[color=#f7d038]Я закрываю глаза и надеюсь на лучшее — вдруг меня не заметят[/color]  
Text/396/text,"Hope is cruel. It lets you think you’re safe, right before it rips the ground from under you.","Надежда жестока. Она даёт вам почувствовать себя в безопасности, прежде чем выбить почву из-под ног.  "
Choice/397/text,[color=gray] . . . [/color],[color=gray] . . . [/color]  
Choice/397/disabled_text,,
Text/398/text,Nothing? Maybe that’s wise. Silence keeps you from choosing — and choosing is when the danger starts.,"Ничего? Может, это мудро. Молчание избавляет от необходимости выбора — а выбор и есть начало опасности.  "
Text/399/text,"Every choice carries weight, even when you don’t realize it. Some crush you slowly, others all at once. The trick isn’t avoiding danger—it’s deciding which weight you can carry without breaking.","Каждый выбор несёт в себе тяжесть, даже если вы этого не осознаёте. Одни медленно раздавливают, другие делают это мгновенно. Секрет не в том, чтобы избегать опасности, а в том, чтобы понять, какой вес вы сможете вынести, не сломавшись.  "
Label/39a/display_name,,
Text/39b/text,"Shadows aren’t just cast by light. Sometimes, they follow you, no matter where you go.","Тени появляются не только там, где есть свет. Иногда они следуют за вами, куда бы вы ни пошли.  "
Text/39c/text,[color=#2effff][b]What’s your first reaction when you feel something watching you?[/b][/color],"[color=#2effff][b]Как вы реагируете, когда чувствуете, что за вами наблюдают?[/b][/color]  "
Choice/39d/text,[color=#6BBF59]Confront it immediately[/color],[color=#6BBF59]Сразу сталкиваюсь с этим[/color]  
Choice/39d/disabled_text,,
Text/39e/text,[color=#6BBF59]I confront it immediately—better to face it than let it linger[/color],"[color=#6BBF59]Я смотрю прямо на это — лучше встретить лицом к лицу, чем терпеть неизвестность[/color]  "
Text/39f/text,Face it? Brave… or foolish. Some things thrive on being noticed. You might just be inviting it closer.,"Встретить? Смело… или глупо. Некоторые вещи только усиливаются, когда на них обращают внимание. Возможно, вы просто приглашаете их ближе.  "
Choice/3a0/text,[color=#8e59f5]Observe and understand[/color],[color=#8e59f5]Наблюдать за ними[/color]  
Choice/3a0/disabled_text,,
Text/3a1/text,[color=#8e59f5]I observe quietly and try to understand what it is[/color],"[color=#8e59f5]Я наблюдаю тихо, стараясь понять, что это такое[/color]  "
Text/3a2/text,"Careful, but curiosity is a dangerous game. Watching back doesn’t mean you’re safe.","Осторожно, но любопытство — опасная игра. Наблюдать за ними не значит быть в безопасности.  "
Choice/3a3/text,[color=#f7d038]Wave and hope for friendship[/color],[color=#f7d038]Попытаться подружиться[/color]  
Choice/3a3/disabled_text,,
Text/3a4/text,[color=#f7d038]Wave at it and hope it’s friendly. What’s the worst that could happen?[/color],[color=#f7d038]Помахать и надеяться на дружелюбие. Что может пойти не так?[/color]  
Text/3a5/text,Strange… humor in the face of fear. Maybe that’s what keeps you standing when others fall.,"Странно… юмор перед лицом страха. Может, именно он держит вас на ногах, когда другие падают.  "
Choice/3a6/text,[color=gray] . . . [/color],[color=gray] . . . [/color]  
Choice/3a6/disabled_text,,
Text/3a7/text,"You’d rather pretend it isn’t there? Ignoring it won’t stop it. If anything, it only watches closer.","Предпочитаете делать вид, что ничего нет? Игнорирование не остановит это. Скорее наоборот, оно начнёт наблюдать ещё пристальнее.  "
Text/3a8/text,"Being watched changes you. It forces you to act, to move, to respond. The real question is… are you acting for yourself, or for whatever’s watching?","Наблюдение меняет вас. Оно вынуждает действовать, двигаться, реагировать. Но главный вопрос в том, для кого вы это делаете — для себя или для того, что наблюдает?  "
Label/3a9/display_name,,
Text/3aa/text,"The quiet here isn’t peace. It’s the kind of quiet that listens, waiting for you to break it.","Тишина здесь — это не покой. Это тишина, которая слушает, ожидая, пока вы её нарушите.  "
Text/3ab/text,[color=#2effff][b]How do you handle silence when it becomes unbearable?[/b][/color],"[color=#2effff][b]Что вы делаете, когда тишина становится невыносимой?[/b][/color]  "
Choice/3ac/text,[color=#6BBF59]Break silence with voice[/color],[color=#6BBF59]Нарушаю её голосом[/color]  
Choice/3ac/disabled_text,,
Text/3ad/text,[color=#6BBF59]I fill it with my own voice—better to break it than let it crush me[/color],"[color=#6BBF59]Я заполняю её своим голосом — лучше разрушить тишину, чем позволить ей разрушить меня[/color]  "
Text/3ae/text,"Break the silence, yes… but be careful. Sometimes it shatters into something sharper.","Разрушить тишину, да… но будьте осторожны. Иногда она разлетается на острые осколки.  "
Choice/3af/text,[color=#8e59f5]Wait for it to pass[/color],"[color=#8e59f5]Жду, пока пройдёт[/color]  "
Choice/3af/disabled_text,,
Text/3b0/text,[color=#8e59f5]I endure it and wait for it to pass[/color],"[color=#8e59f5]Я терплю и жду, пока она не пройдёт сама[/color]  "
Text/3b1/text,"Endure it? Silence doesn’t pass — it settles in, makes itself at home. And it grows heavier.","Терпеть? Тишина не проходит — она оседает, обживается. И с каждым разом становится тяжелее.  "
Choice/3b2/text,[color=#f7d038]Hum to disrupt quiet[/color],[color=#f7d038]Напеваю мелодию[/color]  
Choice/3b2/disabled_text,,
Text/3b3/text,[color=#f7d038]I start humming. Maybe it’ll make the quiet jealous and leave[/color],[color=#f7d038]Я начинаю напевать. Вдруг тишина разозлится и уйдёт?[/color]  
Text/3b4/text,Jealous? No… silence isn’t jealous. It’s patient. It waits for you to hum yourself hoarse.,"Разозлится? Нет… тишина не злится. Она терпелива. И ждёт, пока вы не сорвёте голос.  "
Choice/3b5/text,[color=gray] . . . [/color],[color=gray] . . . [/color]  
Choice/3b5/disabled_text,,
Text/3b6/text,You let the silence win? That’s the thing about it — it never fights you. It just… swallows you whole.,Вы позволяете тишине победить? В этом её особенность — она никогда не борется. Она просто… поглощает.  
Text/3b7/text,"Silence isn’t empty. It’s heavy, full of everything you’re trying not to think about. And when it finally breaks… it’s never as clean as you’d hope.","Тишина не пуста. Она полна всего, о чём вы пытаетесь не думать. А когда она наконец нарушается… это никогда не бывает так чисто, как вам хотелось бы.  "
Label/3b8/display_name,,
Text/3b9/text,Walls don’t just trap you. They mirror what you’re afraid to face.,Стены не просто не выпускают вас. Они отражают ваши страхи.
Text/3ba/text,[color=#2effff][b]What do you do when you’re confronted with something that mirrors your greatest fear?[/b][/color],"[color=#2effff][b]Что ты будешь делать, если столкнешься с тем, что отражает твой самый большой страх?[/b][/color]"
Choice/3bb/text,[color=#6BBF59]Face terror directly[/color],[color=#6BBF59]Противостоять страху лицом к лицу[/color]
Choice/3bb/disabled_text,,
Text/3bc/text,"[color=#6BBF59]I face it head-on, no matter how terrifying.[/color]","[color=#6BBF59]Я встречаю его прямо, несмотря на весь ужас.[/color]"
Text/3bd/text,"Head-on? Ah, but sometimes charging into the fear only makes it grow stronger. The mirror doesn’t flinch.",Прямо? А вот иногда бросаться в страх — это только усиливает его. Зеркало не моргает.
Choice/3be/text,[color=#8e59f5]Step back and assess[/color],[color=#8e59f5]Отступить и оценить ситуацию[/color]
Choice/3be/disabled_text,,
Text/3bf/text,[color=#8e59f5]I step back and try to understand it before acting.[/color],"[color=#8e59f5]Я отступаю и пытаюсь понять, что происходит, прежде чем действовать.[/color]"
Text/3c0/text,Wise… Fear hides its truths behind chaos. Understanding it first might give you a chance.,Мудро… Страх скрывает свои истоки за хаосом. Понимание поможет тебе.
Choice/3c1/text,[color=#f7d038]Ask for a photo[/color],[color=#f7d038]Попросить сделать фото[/color]
Choice/3c1/disabled_text,,
Text/3c2/text,"[color=#f7d038]I ask it to take a picture. It’s only fair, after all.[/color]","[color=#f7d038]Я прошу его сделать снимок. В конце концов, это справедливо.[/color]"
Text/3c3/text,"A clever joke, but fear doesn’t humor you. It only feeds off the laughter you give it.","Остроумная шутка, но страх не шутит с тобой. Он питается тем смехом, который ты ему даешь."
Choice/3c4/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
Choice/3c4/disabled_text,,
Text/3c5/text,"You let the fear swallow your voice. That’s how it works, you know.","Ты позволяешь страху поглотить твой голос. Так оно и работает, знаешь ли."
Text/3c6/text,"Fear isn’t something you can fight. It’s something you live with — until you understand it, or until it understands you. Some choices let you walk away. Others don’t.","Страх — это не то, с чем можно бороться. Это то, с чем приходится жить — пока не поймешь его или не поймет он тебя. Некоторые выборы позволяют уйти. Другие — нет."
Label/3c7/display_name,,
Text/3c8/text,The floor beneath you feels solid. Until it doesn’t.,Пол под тобой кажется твердым. Пока это не меняется.
Text/3c9/text,[color=#2effff][b]How do you react when the ground beneath you seems to be slipping away?[/b][/color],"[color=#2effff][b]Как ты отреагируешь, если почувствуешь, что земля уходит из-под ног?[/b][/color]"
Choice/3ca/text,[color=#6BBF59]Adapt and move forward[/color],[color=#6BBF59]Приспособиться и двигаться дальше[/color]
Choice/3ca/disabled_text,,
Text/3cb/text,[color=#6BBF59]I steady myself and adapt. I find a way to keep moving forward.[/color],[color=#6BBF59]Я держусь и приспосабливаюсь. Я нахожу способ двигаться вперед.[/color]
Text/3cc/text,"Good. When everything slips away, the ability to move through it with purpose is a kind of strength.","Хорошо. Когда все уходит, способность двигаться с целью — это своего рода сила."
Choice/3cd/text,[color=#8e59f5]Freeze and wait[/color],[color=#8e59f5]Замереть и подождать[/color]
Choice/3cd/disabled_text,,
Text/3ce/text,[color=#8e59f5]I freeze and wait for the ground to stabilize.[/color],"[color=#8e59f5]Я замираю и жду, пока земля не стабилизируется.[/color]"
Text/3cf/text,Waiting? It won’t stabilize. Not while you’re waiting for it. It’s already too late.,Ждать? Она не стабилизируется. Не пока ты ждешь. Уже слишком поздно.
Choice/3d0/text,[color=#f7d038]Fall headfirst[/color],[color=#f7d038]Упасть головой вниз[/color]
Choice/3d0/disabled_text,,
Text/3d1/text,"[color=#f7d038]I just fall, headfirst. Who needs solid ground anyway?[/color]","[color=#f7d038]Я просто падаю, головой вниз. Кому вообще нужна твердая земля?[/color]"
Text/3d2/text,"Fall? Sometimes, the ground welcomes you in a way you didn’t expect. But it doesn’t catch you, does it?","Упасть? Иногда земля встречает тебя так, как ты не ожидал. Но она не поймает тебя, верно?"
Choice/3d3/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
Choice/3d3/disabled_text,,
Text/3d4/text,You stand still while the world moves beneath you. Interesting. But time doesn’t wait for silence.,"Ты стоишь неподвижно, пока мир двигается под тобой. Интересно. Но время не ждет тишины."
Text/3d5/text,The ground is an illusion. It holds you until it doesn’t. Your real strength isn’t in what’s beneath you—it’s in how you move when everything shifts away.,"Земля — это иллюзия. Она держит тебя, пока не перестает. Твоя настоящая сила не в том, что под тобой — а в том, как ты двигаешься, когда все уходит."
Label/3d6/display_name,,
Text/3d7/text,Not every door leads to freedom. Some open to something far worse.,Не каждая дверь ведет к свободе. Некоторые открывают путь к худшему.
Text/3d8/text,[color=#2effff][b]What’s your first instinct when faced with a door you’re afraid to open?[/b][/color],"[color=#2effff][b]Какое твое первое ощущение, когда ты сталкиваешься с дверью, которую боишься открыть?[/b][/color]"
Choice/3d9/text,"[color=#6BBF59]Open slowly, prepared[/color]","[color=#6BBF59]Открыть медленно, подготовленным[/color]"
Choice/3d9/disabled_text,,
Text/3da/text,"[color=#6BBF59]I open it slowly, prepared for whatever’s on the other side.[/color]","[color=#6BBF59]Я открываю дверь медленно, готовый ко всему, что за ней.[/color]"
Text/3db/text,"Careful… but preparation doesn’t always save you. Sometimes, the door swings wider than you expect.","Осторожно… но подготовка не всегда спасает. Иногда дверь распахивается шире, чем ты ожидал."
Choice/3dc/text,[color=#8e59f5]Wait and listen[/color],[color=#8e59f5]Подождать и послушать[/color]
Choice/3dc/disabled_text,,
Text/3dd/text,"[color=#8e59f5]I wait and listen, trying to determine what’s behind it.[/color]","[color=#8e59f5]Я жду и прислушиваюсь, пытаясь понять, что за ней.[/color]"
Text/3de/text,Listening? The door won’t tell you its secrets. It only waits for you to act.,Слушать? Дверь не расскажет тебе своих секретов. Она только ждет твоих действий.
Choice/3df/text,[color=#f7d038]Knock politely first[/color],[color=#f7d038]Постучать вежливо[/color]
Choice/3df/disabled_text,,
Text/3e0/text,[color=#f7d038]I knock first—might as well be polite to whatever’s inside.[/color],"[color=#f7d038]Я постучал первым — на всякий случай, пусть будет вежливо с тем, кто внутри.[/color]"
Text/3e1/text,Polite? Hah. The door doesn’t care about politeness. It’s already decided whether to welcome you… or devour you.,"Вежливо? Хах. Дверь не заботится о вежливости. Она уже решила, впустить тебя… или поглотить."
Choice/3e2/text,[color=gray] . . . [/color],[color=gray] . . . [/color]
Choice/3e2/disabled_text,,
Text/3e3/text,Silence before a door doesn’t stop it from opening. It only gives it more time to decide who — or what — it lets through.,"Тишина перед дверью не остановит ее от открытия. Она только дает ей время решить, кто — или что — пройдет через нее."
Text/3e4/text,"Doors are thresholds, but not all thresholds are meant to be crossed. Sometimes, what’s on the other side isn’t waiting for you—it’s waiting because of you. And once you open it, there’s no going back.","Двери — это пороги, но не все пороги предназначены для того, чтобы их переходить. Иногда то, что за дверью, не ждет тебя — оно ждет из-за тебя. И как только ты откроешь, уже не будет пути назад."
Label/3e5/display_name,,
